#N		runtime_square		runtime_strassen		bound_square		bound_strassen		
2		2		3		17844		6514.93		
4		1		12		71376		22844.1		
8		4		89		285504		80101.1		
16		17		636		1.14202e+06		280868		
32		130		4457		4.56806e+06		984843		
64		939		33726		1.82723e+07		3.45328e+06		
128		8605		228337		7.3089e+07		1.21087e+07		
256		85936		1.51948e+06		2.92356e+08		4.24581e+07		
512		1.05292e+06		9.77906e+06		1.16942e+09		1.48876e+08		
1024		9.09001e+06		6.62361e+07		4.6777e+09		5.22022e+08		
